Feature,Importance
avg_cc,0.319814
dit,0.12927228
mfa,0.11143649
wmc,0.08800073
max_cc,0.081529684
cam,0.079598345
loc,0.054701496
amc,0.04312954
cbo,0.042963546
ca,0.04229846
rfc,0.007255396
name.1_org.apache.camel.converter.NIOConverter,0.0
name.1_org.apache.camel.converter.jaxb.JaxbConverter,0.0
name.1_org.apache.camel.converter.jaxp.BytesSource,0.0
name.1_org.apache.camel.converter.jaxp.StringSource,0.0
name.1_org.apache.camel.converter.jaxp.XmlConverter,0.0
name.1_org.apache.camel.impl.BinaryPredicateSupport,0.0
name.1_org.apache.camel.impl.CachingInjector,0.0
name.1_org.apache.camel.impl.DefaultCamelContext,0.0
name.1_org.apache.camel.converter.ObjectConverter,0.0
