,count,unique,top,freq,mean,std,min,25%,50%,75%,max
version,339.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
wmc,339.0,,,,8.067846607669617,8.829656779303853,0.0,3.0,5.0,10.0,82.0
dit,339.0,,,,2.0088495575221237,1.2101316023687583,0.0,1.0,2.0,3.0,6.0
noc,339.0,,,,0.5693215339233039,2.49562987504821,0.0,0.0,0.0,0.0,25.0
cbo,339.0,,,,9.964601769911505,15.366101862651101,0.0,4.0,6.0,12.0,185.0
rfc,339.0,,,,19.625368731563423,19.408518674204593,0.0,7.0,14.0,27.0,143.0
lcom,339.0,,,,53.65191740412979,207.9159261004177,0.0,0.0,3.0,32.0,2897.0
ca,339.0,,,,4.991150442477876,15.09996017191027,0.0,1.0,2.0,4.0,184.0
ce,339.0,,,,5.6902654867256635,5.282682962133984,0.0,1.0,5.0,8.0,32.0
npm,339.0,,,,6.557522123893805,7.933456293016765,0.0,2.0,4.0,8.0,77.0
lcom3,339.0,,,,0.9855619769675517,0.7169839860935237,0.0,0.5,0.75,2.0,2.0
loc,339.0,,,,99.47197640117994,130.03463903302514,0.0,24.0,62.0,122.5,1000.0
dam,339.0,,,,0.6789401601297935,0.45859423655040366,0.0,0.0,1.0,1.0,1.0
moa,339.0,,,,0.7109144542772862,1.0846830536980858,0.0,0.0,0.0,1.0,7.0
mfa,339.0,,,,0.39301370386725665,0.39278154742257426,0.0,0.0,0.358974359,0.8,1.0
cam,339.0,,,,0.47504739302064886,0.2484057922995604,0.0,0.2881944445,0.444444444,0.666666667,1.0
ic,339.0,,,,0.415929203539823,0.5765485509993266,0.0,0.0,0.0,1.0,3.0
cbm,339.0,,,,0.56047197640118,1.0953240104287962,0.0,0.0,0.0,1.0,8.0
amc,339.0,,,,10.356837766380531,9.493477297169857,0.0,5.353383459,8.285714286,13.0,75.76923077
max_cc,339.0,,,,1.9705014749262537,2.3519506034927704,0.0,1.0,1.0,2.0,26.0
avg_cc,339.0,,,,0.937466371681416,0.6007059232295521,0.0,0.6667,0.9091,1.0,6.5
bug,339.0,,,,0.04129793510324484,0.21360410283326228,0.0,0.0,0.0,0.0,2.0
name.1_org.apache.camel.CamelContext,339,2,False,338,,,,,,,
name.1_org.apache.camel.CamelException,339,2,False,338,,,,,,,
name.1_org.apache.camel.CamelTemplate,339,2,False,338,,,,,,,
name.1_org.apache.camel.Component,339,2,False,338,,,,,,,
name.1_org.apache.camel.Consumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.Converter,339,2,False,338,,,,,,,
name.1_org.apache.camel.Endpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.EndpointInject,339,2,False,338,,,,,,,
name.1_org.apache.camel.Exchange,339,2,False,338,,,,,,,
name.1_org.apache.camel.ExpectedBodyTypeException,339,2,False,338,,,,,,,
name.1_org.apache.camel.Expression,339,2,False,338,,,,,,,
name.1_org.apache.camel.FailedToCreateProducerException,339,2,False,338,,,,,,,
name.1_org.apache.camel.Header,339,2,False,338,,,,,,,
name.1_org.apache.camel.InvalidHeaderTypeException,339,2,False,338,,,,,,,
name.1_org.apache.camel.Message,339,2,False,338,,,,,,,
name.1_org.apache.camel.MessageDriven,339,2,False,338,,,,,,,
name.1_org.apache.camel.NoSuchEndpointException,339,2,False,338,,,,,,,
name.1_org.apache.camel.NoTypeConversionAvailableException,339,2,False,338,,,,,,,
name.1_org.apache.camel.PollingConsumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.Predicate,339,2,False,338,,,,,,,
name.1_org.apache.camel.Processor,339,2,False,338,,,,,,,
name.1_org.apache.camel.Producer,339,2,False,338,,,,,,,
name.1_org.apache.camel.Property,339,2,False,338,,,,,,,
name.1_org.apache.camel.ResolveEndpointFailedException,339,2,False,338,,,,,,,
name.1_org.apache.camel.Route,339,2,False,338,,,,,,,
name.1_org.apache.camel.RuntimeCamelException,339,2,False,338,,,,,,,
name.1_org.apache.camel.RuntimeExpressionException,339,2,False,338,,,,,,,
name.1_org.apache.camel.RuntimeTransformException,339,2,False,338,,,,,,,
name.1_org.apache.camel.Service,339,2,False,338,,,,,,,
name.1_org.apache.camel.TypeConverter,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.ActivityBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.ActivityLifecycle,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.ProcessBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.TimeExpression,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.ActivityDefinition,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.ActivityState,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.EntitySupport,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.ProcessDefinition,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.ProcessInstance,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.model.TemporalEntity,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.ActivityMonitorEngine,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.BamProcessorSupport,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.JpaBamProcessor,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.JpaBamProcessorSupport,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.NoCorrelationKeyException,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.processor.ProcessContext,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.rules.ActivityRules,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.rules.ProcessRules,339,2,False,338,,,,,,,
name.1_org.apache.camel.bam.rules.TemporalRule,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.Builder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.BuilderSupport,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ChoiceBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ConstantProcessorBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.DeadLetterChannelBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ErrorHandlerBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ExpressionBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.FilterBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.Fluent,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.FluentArg,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.FromBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.IdempotentConsumerBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.InterceptorBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.LoggingErrorHandlerBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.MulticastBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.NoErrorHandlerBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.PipelineBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.PolicyBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.PredicateBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.PredicateFactory,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ProcessorBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ProcessorFactory,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.RecipientListBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ResequencerBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.RouteBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.SplitterBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ToBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.UndefinedDestinationException,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.ValueBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.WhenBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.script.ScriptBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.script.ScriptEvaluationException,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.sql.SqlBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.DefaultNamespaceContext,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.DomResultHandler,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.InvalidXPathExpression,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.MessageVariableResolver,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.NamespaceBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.ResultHandler,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.StreamResultHandler,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.StringResultHandler,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.XPathBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.builder.xml.XsltBuilder,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.activemq.ActiveMQComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.activemq.ActiveMQConfiguration,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfBinding,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfConstants,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfConsumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfEndpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfExchange,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfInvokeComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfInvokeConsumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfInvokeEndpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfInvokeProducer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfMessage,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.CxfProducer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.transport.CamelConduit,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.transport.CamelConstants,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.transport.CamelDestination,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.transport.CamelTransportBase,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.cxf.transport.CamelTransportFactory,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.direct.DirectComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.direct.DirectEndpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileConsumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileEndpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileExchange,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileMessage,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.file.FileProducer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.CamelServlet,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpBinding,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpComponent,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpConsumer,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpEndpoint,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpExchange,339,2,False,338,,,,,,,
name.1_org.apache.camel.component.http.HttpMessage,339,2,False,338,,,,,,,
