Project,Model,Accuracy,Precision,Recall,F1,AUC,PD,PF,G-Measure
ant-1.7,RandomForest,0.7315436241610739,0.4406779661016949,0.7878787878787878,0.5652173913043478,0.8359456635318704,0.7878787878787878,0.28448275862068967,0.7508267821836839
ant-1.7,LogisticRegression,0.7449664429530202,0.45098039215686275,0.696969696969697,0.5476190476190477,0.8137408568443051,0.696969696969697,0.2413793103448276,0.727142099031481
ant-1.7,NaiveBayes,0.6711409395973155,0.3787878787878788,0.7575757575757576,0.5050505050505051,0.769723092998955,0.7575757575757576,0.35344827586206895,0.6998656386948179
ant-1.7,XGBoost,0.697986577181208,0.39285714285714285,0.6666666666666666,0.4943820224719101,0.7601880877742948,0.6666666666666666,0.29310344827586204,0.6864869757075454
camel-1.0,RandomForest,0.6323529411764706,0.10714285714285714,1.0,0.1935483870967742,0.8564102564102564,1.0,0.38461538461538464,0.7844645405527362
camel-1.0,LogisticRegression,0.6617647058823529,0.08333333333333333,0.6666666666666666,0.14814814814814814,0.7128205128205127,0.6666666666666666,0.3384615384615385,0.6640976140791661
camel-1.0,NaiveBayes,0.7941176470588235,0.07692307692307693,0.3333333333333333,0.125,0.6102564102564102,0.3333333333333333,0.18461538461538463,0.5213394976355348
camel-1.0,XGBoost,0.47058823529411764,0.07692307692307693,1.0,0.14285714285714285,0.5794871794871794,1.0,0.5538461538461539,0.6679474875720741
ghprdata,NaiveBayes,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ghprdata,LogisticRegression,0.023140495867768594,0.0016891891891891893,1.0,0.003372681281618887,1.0,1.0,0.9784768211920529,0.1467078007740114
ghprdata,RandomForest,0.21818181818181817,0.002109704641350211,1.0,0.004210526315789474,1.0,1.0,0.7831125827814569,0.4657117318884538
ghprdata,XGBoost,0.9983471074380166,0.0,0.0,0.0,0.5,0.0,0.0,0.0
