Feature,Importance
20180902,0.0
Gadgetbridge_APIJSON,0.0
Gadgetbridge_ARouter,0.0
Gadgetbridge_ActiveAndroid,0.0
Gadgetbridge_Activiti,0.0
Gadgetbridge_AdapterDelegates,0.0
Gadgetbridge_Algorithms,0.0
Gadgetbridge_AmazeFileManager,0.0
Gadgetbridge_AndEngine,0.0
Gadgetbridge_AndPermission,0.0
Gadgetbridge_AndResGuard,0.0
Gadgetbridge_Android-Bootstrap,0.0
Gadgetbridge_Android-CleanArchitecture,0.0
Gadgetbridge_Android-ObservableScrollView,0.0
Gadgetbridge_Android-PickerView,0.0
Gadgetbridge_Android-ReactiveLocation,0.0
Gadgetbridge_Android-SpinKit,0.0
Gadgetbridge_Android-Week-View,0.0
Gadgetbridge_AndroidAsync,0.0
Gadgetbridge_AndroidFillableLoaders,0.0
